Time (s);Gyroscope X (deg/s);Gyroscope Y (deg/s);Gyroscope Z (deg/s);Accelerometer X (g);Accelerometer Y (g);Accelerometer Z (g);Magnetometer X (uT);Magnetometer Y (uT);Magnetometer Z (uT);Barometer (hPa)
0;-0,2139133;0,08690406;0,01756563;-0,9172817;0,3224981;-0,1790403;45,29882;9,373024;8,899981;1006,253
0,020256042;0,3428943;-0,03195372;-0,04385895;-0,9143677;0,332663;-0,1784973;45,28884;9,064615;8,522602;1006,253
0,037979126;0,5277975;-0,1504857;0,3226389;-0,9138718;0,3355681;-0,1775124;45,28884;9,064615;8,522602;1006,251
0,058235168;0,4029799;0,08733896;0,1997207;-0,9162769;0,3365375;-0,1755503;45,28884;9,064615;8,522602;1006,251
0,078491211;0,09285773;-0,03116587;0,07701506;-0,9171707;0,3263809;-0,169849;45,66612;9,062008;8,894359;1006,251
0,0987463;-0,09272119;0,02818554;0,6264815;-0,9172145;0,3196008;-0,1737655;45,66612;9,062008;8,894359;1006,251
0,119002342;-0,03055758;0,08725757;0,8078023;-0,9196535;0,3375065;-0,1735779;44,93121;9,070452;8,910062;1006,251
0,139254093;0,03143062;0,3245414;0,8667516;-0,9142731;0,3341243;-0,1707736;44,93121;9,070452;8,910062;1006,251
0,159509659;0,3405398;-0,03180105;0,7422563;-0,9148531;0,3423426;-0,1779228;44,93121;9,070452;8,910062;1006,249
0,179765701;0,1539895;-0,03175844;0,556981;-0,9114709;0,3418582;-0,1794089;45,66593;8,693855;8,897033;1006,249
0,200021267;0,276979;-0,1502437;0,6166368;-0,9104362;0,3355729;-0,1746569;45,66593;8,693855;8,897033;1006,249
0,217745304;-0,1566016;0,02809239;0,6152052;-0,9134086;0,3433099;-0,1788933;45,58374;9,366008;8,070953;1006,249
0,238043308;-0,1564997;-0,09050599;0,308083;-0,9133769;0,3500889;-0,1759406;45,58374;9,366008;8,070953;1006,249
0,258299351;-0,1562039;-0,09039067;0,001789615;-0,9152881;0,3471874;-0,1735367;45,58374;9,366008;8,070953;1006,249
0,278555393;0,02963118;-0,0310208;-0,1203039;-0,9123334;0,3394485;-0,1707461;45,60488;9,062712;8,895667;1006,248
0,298810482;-0,09401352;0,02814385;-0,05873666;-0,9167528;0,3399262;-0,1745507;45,60488;9,062712;8,895667;1006,248
0,319066525;-0,09364149;0,1465451;0,06367256;-0,9152803;0,3341204;-0,1736548;45,60488;9,062712;8,895667;1006,248
0,339318276;-0,1550847;0,1461586;-0,05853799;-0,9123624;0,3379937;-0,1731688;45,60488;9,062712;8,895667;1006,248
0,359573841;-0,0928227;0,08651847;-0,05833336;-0,9152697;0,3365414;-0,1726691;45,60488;9,062712;8,895667;1006,248
0,379829407;-0,09243424;0,02702806;-0,1192026;-0,9109601;0,3399249;-0,1775039;45,28899;9,371409;8,520373;1006,248
0,400085449;-0,03042675;-0,09160488;-0,3631581;-0,911447;0,3418605;-0,1774812;45,28899;9,371409;8,520373;1006,246
0,417809486;-0,09217417;0,02710556;-0,4234527;-0,9157879;0,3408939;-0,1750342;45,5952;9,367891;8,51383;1006,246
0,438064575;-0,1538736;0,02711204;-0,8501906;-0,9157297;0,3433196;-0,1701932;45,5952;9,367891;8,51383;1006,248
0,458320618;0,09380868;0,02715576;-0,6648363;-0,9133358;0,3312173;-0,1737016;45,5952;9,367891;8,51383;1006,248
0,47857666;0,03193366;0,02706905;-0,4187013;-0,9162232;0,326379;-0,1717869;45,61634;9,064595;9,338544;1006,248
0,498831749;-0,02976658;0,02698239;-0,2953116;-0,9153175;0,3365367;-0,1765244;45,61634;9,064595;9,338544;1006,248
0,519087792;0,09416997;0,145517;-0,3557202;-0,9138857;0,3389547;-0,1784456;45,29882;9,373024;8,899981;1006,248
0,539339543;0,03227469;0,02667972;-0,4770506;-0,9142919;0,3355744;-0,1722062;45,29882;9,373024;8,899981;1006,248
0,559595585;0,2794703;-0,03253005;-0,2314062;-0,9153339;0,3341151;-0,177992;45,29882;9,373024;8,899981;1006,248
0,579851151;0,03166702;0,02688068;-0,2917067;-0,9176975;0,3254087;-0,173226;45,28884;9,064615;8,522602;1006,248
0,600106716;-0,1538554;-0,03244149;0,01429615;-0,9152815;0,3360562;-0,1736373;45,28884;9,064615;8,522602;1006,253
0,617830753;0,03208098;-0,09190428;0,01426473;-0,9118736;0,3428341;-0,1726483;44,92154;9,375631;8,528225;1006,253
0,638085842;0,2173657;-0,09180388;-0,2301602;-0,9133393;0,3471887;-0,1730754;44,92154;9,375631;8,528225;1006,248
0,658341885;0,154792;-0,09159207;-0,4128407;-0,9192011;0,3433113;-0,1759402;44,92154;9,375631;8,528225;1006,248
0,678597927;0,03083315;0,1458426;-0,289389;-0,9113612;0,3278333;-0,1713433;45,31028;9,374907;9,342858;1006,248
0,698853016;-0,1546483;0,3235756;-0,1664006;-0,9187068;0,3287926;-0,1760765;45,31028;9,374907;9,342858;1006,248
0,719109059;-0,2778692;0,2636764;0,01721786;-0,9153062;0,3375058;-0,1755518;45,97248;9,365284;8,885587;1006,246
0,739361286;-0,1536984;0,02588418;-0,1051255;-0,9158507;0,3462116;-0,1798052;45,97248;9,365284;8,885587;1006,246
0,759616852;0,09410005;-0,03350995;-0,2271424;-0,9115024;0,344759;-0,1817922;45,97248;9,365284;8,885587;1006,25
0,779872418;0,09390262;-0,1520841;-0,4710573;-0,911897;0,3418638;-0,1745846;45,28884;9,064615;8,522602;1006,25
0,80012846;0,2171595;-0,1515905;-0,6535744;-0,9176906;0,3438011;-0,171614;45,28884;9,064615;8,522602;1006,25
0,81785202;0,1548875;-0,2106984;-0,5911228;-0,9133251;0,3433181;-0,1721465;44,93137;9,377246;8,907833;1006,25
0,838107586;0,1547122;-0,03248021;-0,5895813;-0,917181;0,3336398;-0,1702653;44,93137;9,377246;8,907833;1006,252
0,858363152;-0,2163678;0,1453278;-0,2828113;-0,9157049;0,3317063;-0,1688524;44,93137;9,377246;8,907833;1006,252
0,878619194;-0,1540104;0,08548479;0,0233035;-0,9148051;0,3316996;-0,1746456;45,58359;9,059214;8,073182;1006,253
0,89887476;0,09378888;0,08519571;-0,03780917;-0,9129621;0,3389503;-0,1823112;45,58359;9,059214;8,073182;1006,253
0,919130325;0,2174346;-0,09304285;-0,2821994;-0,9105057;0,3423419;-0,1798967;45,29901;9,741177;8,897307;1006,255
0,939382553;-0,1546382;-0,1521197;-0,09827092;-0,9143614;0,3321796;-0,1780198;45,29901;9,741177;8,897307;1006,255
0,959638596;0,1545691;-0,09242732;-0,1590208;-0,9182135;0,3360534;-0,1750522;45,28884;9,064615;8,522602;1006,255
0,979893684;-0,09282358;-0,03308972;-0,03664779;-0,9142593;0,3409015;-0,1692667;45,28884;9,064615;8,522602;1006,255
1,000149727;-0,03085399;0,08561432;-0,03647899;-0,9142414;0,3409033;-0,1678209;45,28884;9,064615;8,522602;1006,257
1,017873764;0,1547926;-0,03312026;-0,0362068;-0,9128436;0,3505778;-0,172086;45,29901;9,741177;8,897307;1006,257
1,038128853;-0,03113605;-0,03314894;-0,3412906;-0,9161977;0,3336414;-0,1693117;45,29901;9,741177;8,897307;1006,257
